policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.034056052565574646,0.004627346992492676,0.003808140754699707,-0.05668991804122925,-0.025294840335845947,0.023091167211532593,1.0519039630889893,0.025700688362121582,-0.034722089767456055,-0.008010327816009521,-0.03931809961795807,0.006182491779327393,-0.041544824838638306,0.9813822507858276]","[-0.030008070170879364,0.004192587919533253,0.003034398425370455,-0.04956884682178497,-0.022026563063263893,0.020149365067481995]",0.04398283734917641,"[0.022675983607769012,-0.030538471415638924,-0.007254635449498892,-0.03436678647994995,0.005343869794160128,-0.03625044971704483]",0.04359190911054611,"[-0.2972373068332672,-0.3524034023284912,0.9174202680587769,0.7097280621528625,-0.010313112288713455,0.02548336423933506,0.7039390206336975]","[0.2984389662742615,-0.3535638153553009,0.9180561900138855,0.7006468176841736,-0.016674889251589775,-0.009066140279173851,0.7132556438446045]","[-0.30055955052375793,-0.13075155019760132,0.7805474400520325]","[0.034793272614479065,0.14891856908798218,0.6945655941963196,0.7029874324798584]",5.960464477539063e-08,0.0,0.0,False,False,0.011339578777551651
2,0,1,False,"[-0.03629833832383156,0.04933667182922363,0.03894597291946411,-0.07502659410238266,-0.02345907688140869,0.06506553292274475,1.0627338886260986,0.023559652268886566,-0.053082406520843506,-0.00995779037475586,-0.039261866360902786,0.00613132119178772,-0.038810908794403076,0.9869916439056396]","[-0.03556916117668152,0.04390008747577667,0.0349222794175148,-0.07168393582105637,-0.023260854184627533,0.05934091657400131]",0.04397821053862572,"[0.02345823124051094,-0.05044938251376152,-0.009541742503643036,-0.03860444948077202,0.006029636133462191,-0.0384865328669548]",0.04348998889327049,"[-0.2967129647731781,-0.35192984342575073,0.9230930805206299,0.7112680673599243,-0.0065664006397128105,0.050153251737356186,0.7010985612869263]","[0.29840487241744995,-0.35447096824645996,0.918382465839386,0.7006959915161133,-0.012658742256462574,-0.014528008177876472,0.7131996154785156]","[-0.300559401512146,-0.13075119256973267,0.7805474400520325]","[0.03478574380278587,0.14891427755355835,0.6945751905441284,0.7029792070388794]",5.960464477539063e-08,0.0,0.0,False,False,0.009018491953611374
3,0,2,False,"[-0.036755070090293884,0.0954521894454956,0.07019683718681335,-0.10199692100286484,-0.024910926818847656,0.10776299238204956,1.0739247798919678,0.022333204746246338,-0.05268818140029907,-0.008292198181152344,-0.037620119750499725,0.011237889528274536,-0.035717517137527466,0.9892500638961792]","[-0.03662116825580597,0.08937320858240128,0.06597524136304855,-0.098115473985672,-0.02469361573457718,0.10159213095903397]",0.04398598149418831,"[0.022454414516687393,-0.05242886766791344,-0.008434447459876537,-0.03773927688598633,0.01058228500187397,-0.03607023507356644]",0.04346247762441635,"[-0.29660943150520325,-0.35078272223472595,0.9275954365730286,0.7110893726348877,-0.005507555324584246,0.07979491353034973,0.6985372304916382]","[0.29863670468330383,-0.3546469807624817,0.9189909100532532,0.7027122378349304,-0.010426280088722706,-0.015003315173089504,0.7112395167350769]","[-0.30055922269821167,-0.13075074553489685,0.7805474996566772]","[0.03478223457932472,0.14891687035560608,0.6945885419845581,0.7029656171798706]",1.1920928955078125e-07,0.0,0.0,False,False,0.010232269763946533
4,0,3,False,"[-0.03838122636079788,0.15324383974075317,0.11029514670372009,-0.12903892993927002,-0.02584826946258545,0.1644550859928131,1.0857797861099243,0.0201646089553833,-0.05880707502365112,-0.008343279361724854,-0.038128700107336044,0.013073563575744629,-0.03438636660575867,0.9963092803955078]","[-0.03818373382091522,0.14568285644054413,0.10510196536779404,-0.125037282705307,-0.02569085918366909,0.1564432978630066]",0.043996863067150116,"[0.020427849143743515,-0.058053795248270035,-0.008346271701157093,-0.03807215765118599,0.012763941660523415,-0.03460051119327545]",0.04359651356935501,"[-0.29640889167785645,-0.3488292396068573,0.9338980913162231,0.7112208604812622,-0.0010262858122587204,0.11486122012138367,0.6935204863548279]","[0.29889950156211853,-0.3549516201019287,0.9194115996360779,0.7042397856712341,-0.008002009242773056,-0.016324428841471672,0.7097293734550476]","[-0.30055949091911316,-0.1307511031627655,0.7805474400520325]","[0.03479164466261864,0.14892078936100006,0.6945769190788269,0.702975869178772]",5.960464477539063e-08,0.0,0.0,False,False,0.012700676918029785
5,0,4,False,"[-0.046893320977687836,0.279144287109375,0.19799736142158508,-0.18715855479240417,-0.016136854887008667,0.25223755836486816,1.0894534587860107,0.01619424670934677,-0.07228779792785645,-0.021119356155395508,-0.04373221471905708,0.009164243936538696,-0.0297868549823761,1.0100317001342773]","[-0.045912887901067734,0.2633264660835266,0.1872325837612152,-0.179063081741333,-0.017315592616796494,0.240029439330101]",0.04399619996547699,"[0.016697805374860764,-0.0705459713935852,-0.019757946953177452,-0.04307207465171814,0.00962841883301735,-0.030400337651371956]",0.04375699162483215,"[-0.29511216282844543,-0.34289810061454773,0.9470246434211731,0.7165235877037048,-0.001314803957939148,0.17486080527305603,0.6752894520759583]","[0.29916077852249146,-0.35480690002441406,0.9160029292106628,0.7044509053230286,-0.007944169454276562,-0.013478279113769531,0.70958012342453]","[-0.3005593717098236,-0.13075104355812073,0.7805474996566772]","[0.034787967801094055,0.14891627430915833,0.6945799589157104,0.7029740214347839]",1.1920928955078125e-07,0.0,0.0,False,False,0.026639968156814575
6,0,5,False,"[-0.046911824494600296,0.38487520813941956,0.2703799903392792,-0.2467823028564453,-0.012621551752090454,0.3417030870914459,1.1062818765640259,0.014370694756507874,-0.06604522466659546,-0.014036357402801514,-0.03808796778321266,0.005777895450592041,-0.034755438566207886,1.015208125114441]","[-0.04683070257306099,0.3706223666667938,0.26055479049682617,-0.2380322962999344,-0.013199836947023869,0.32874566316604614]",0.04399999976158142,"[0.014651878736913204,-0.06663887202739716,-0.014555775560438633,-0.03866838663816452,0.006268684286624193,-0.03419989347457886]",0.04385604336857796,"[-0.2945561110973358,-0.33563777804374695,0.95688396692276,0.7178197503089905,-0.0012983281631022692,0.2363973706960678,0.6548659205436707]","[0.2992607355117798,-0.3549712300300598,0.9178962111473083,0.7039924263954163,-0.007245597429573536,-0.016834480687975883,0.7099708914756775]","[-0.30055949091911316,-0.13075149059295654,0.7805473208427429]","[0.03478788211941719,0.14891399443149567,0.6945667266845703,0.702987551689148]",-5.960464477539063e-08,0.0,0.0,False,False,0.02423495054244995
7,0,6,False,"[-0.05011805146932602,0.48061683773994446,0.34746599197387695,-0.3074440062046051,-0.006318479776382446,0.41978970170021057,1.111635684967041,0.012593768537044525,-0.04490536451339722,-0.013889491558074951,-0.03337446600198746,0.004427134990692139,-0.041196227073669434,1.0238372087478638]","[-0.04977341368794441,0.4677034914493561,0.33732420206069946,-0.29841187596321106,-0.007171789649873972,0.4081873297691345]",0.04399999976158142,"[0.012840677984058857,-0.04744958505034447,-0.014058254659175873,-0.0340866819024086,0.004662750288844109,-0.040304433554410934]",0.043914731591939926,"[-0.2936493754386902,-0.327666312456131,0.9679886102676392,0.7203506827354431,-0.00012332542974036187,0.28847402334213257,0.6307753324508667]","[0.2993738055229187,-0.3540093004703522,0.9170588850975037,0.7039542198181152,-0.014436115510761738,-0.0140653932467103,0.7099592685699463]","[-0.30055949091911316,-0.1307511329650879,0.7805474996566772]","[0.03479041904211044,0.14891456067562103,0.6945763826370239,0.7029777765274048]",1.1920928955078125e-07,0.0,0.0,False,False,0.021954238414764404
8,0,7,False,"[-0.049070343375205994,0.6351333856582642,0.4477027654647827,-0.4001882076263428,-0.009278565645217896,0.5449356436729431,1.1077440977096558,0.01253124326467514,-0.05766415596008301,-0.01363438367843628,-0.036146726459264755,0.010683268308639526,-0.04894319176673889,1.031314492225647]","[-0.049187399446964264,0.6156060099601746,0.4347270131111145,-0.3869767487049103,-0.009001064114272594,0.5275041460990906]",0.04399999976158142,"[0.012555811554193497,-0.0564744807779789,-0.013611833564937115,-0.03585625812411308,0.009922006167471409,-0.047841690480709076]",0.04395122826099396,"[-0.2930619418621063,-0.31311172246932983,0.976952850818634,0.7183841466903687,-0.005157688166946173,0.37008583545684814,0.589011013507843]","[0.29955971240997314,-0.3545052707195282,0.9177228808403015,0.705921471118927,-0.01438355166465044,-0.019385654479265213,0.707878589630127]","[-0.3005593717098236,-0.1307508945465088,0.7805474996566772]","[0.03478740155696869,0.14891481399536133,0.6945840120315552,0.7029702663421631]",1.1920928955078125e-07,0.0,0.0,False,False,0.033627867698669434
9,0,8,False,"[-0.050428736954927444,0.7641571760177612,0.5457794666290283,-0.47953686118125916,-0.0036860108375549316,0.6657183766365051,1.106445550918579,0.0019374936819076538,-0.054058611392974854,-0.021270811557769775,-0.02315589040517807,0.004629015922546387,-0.03847786784172058,1.028581976890564]","[-0.05033988878130913,0.7467933297157288,0.532932698726654,-0.4674055576324463,-0.004347757901996374,0.6481009125709534]",0.04399999976158142,"[0.0031946031376719475,-0.054327305406332016,-0.020415611565113068,-0.024802889674901962,0.005320728290826082,-0.039671413600444794]",0.043971315026283264,"[-0.29198867082595825,-0.2975340783596039,0.986659824848175,0.7192038297653198,-0.0007615596987307072,0.437253475189209,0.5399580597877502]","[0.30031847953796387,-0.3539528250694275,0.9163200855255127,0.7076687812805176,-0.010803623124957085,-0.01721760258078575,0.7062518000602722]","[-0.30055949091911316,-0.13075147569179535,0.7805473208427429]","[0.03478753939270973,0.1489136964082718,0.6945674419403076,0.7029868960380554]",-5.960464477539063e-08,0.0,0.0,False,False,0.029902637004852295
10,0,9,False,"[-0.050105661153793335,0.8680957555770874,0.6164728403091431,-0.5476779937744141,0.002609044313430786,0.7352801561355591,1.1049232482910156,0.010988794267177582,-0.06398224830627441,-0.003004908561706543,-0.027139823883771896,0.009170204401016235,-0.03919023275375366,1.0349739789962769]","[-0.050179507583379745,0.854078471660614,0.6066252589225769,-0.5372164249420166,0.001733745913952589,0.7241699695587158]",0.04399999976158142,"[0.010063426569104195,-0.06293492019176483,-0.004788322374224663,-0.02671978622674942,0.008668099530041218,-0.03925151750445366]",0.0439765602350235,"[-0.29116010665893555,-0.2839789092540741,0.9905046820640564,0.7200129628181458,-0.00933307409286499,0.4842364192008972,0.4970002770423889]","[0.29977166652679443,-0.35549196600914,0.9220779538154602,0.7065030336380005,-0.0026492311153560877,-0.024888979271054268,0.7072671055793762]","[-0.30055949091911316,-0.1307513415813446,0.7805474996566772]","[0.034790799021720886,0.1489146202802658,0.694571316242218,0.7029827833175659]",1.1920928955078125e-07,0.0,0.0,False,False,0.024435043334960938
