policy_step,action_l2_rgb_minus_bgr,bgr_left_gripper_m,rgb_left_gripper_m,bgr_surface_distance_m,rgb_surface_distance_m,bgr_alignment_error_m,rgb_alignment_error_m,bgr_coin_z_delta_m,rgb_coin_z_delta_m,bgr_tracking_error,rgb_tracking_error
1,0.07789792838711429,0.04398283734917641,0.04399934783577919,0.13384621127634658,0.13139251342606564,0.14466149593942987,0.14497991754557346,5.960464477539063e-08,5.960464477539063e-08,0.011339578777551651,0.013984467834234238
2,0.08183816489185688,0.04397821053862572,0.043998342007398605,0.1339197821008511,0.12620066407471223,0.1455377825107804,0.14164036065193145,5.960464477539063e-08,5.960464477539063e-08,0.009018491953611374,0.011081226170063019
3,0.1075938619985926,0.04398598149418831,0.04399999976158142,0.13074978060859146,0.11863835192600868,0.14368096404843655,0.13666964775063317,1.1920928955078125e-07,1.1920928955078125e-07,0.010232269763946533,0.01647992432117462
4,0.15917898391206756,0.043996863067150116,0.04399999976158142,0.12821483378979714,0.11167123330787362,0.1428116083499899,0.13205532580826568,5.960464477539063e-08,5.960464477539063e-08,0.012700676918029785,0.02078300714492798
5,0.2355905408378384,0.04399619996547699,0.04399999976158142,0.1257691974831604,0.10662717079522446,0.14123832443514972,0.12833050259598636,1.1920928955078125e-07,1.1920928955078125e-07,0.026639968156814575,0.0352708101272583
6,0.2819635698744657,0.04399999976158142,0.04399999976158142,0.1199724669548565,0.10078258889033082,0.13649355353820722,0.12169651043223029,-5.960464477539063e-08,-5.960464477539063e-08,0.02423495054244995,0.029135048389434814
7,0.41768393090148176,0.04399999976158142,0.04399999976158142,0.1178207640589403,0.09763692806607653,0.13487036019469922,0.11630689232766044,1.1920928955078125e-07,1.1920928955078125e-07,0.021954238414764404,0.045168936252593994
8,0.5227990791948848,0.04399999976158142,0.04399999976158142,0.10770851455698403,0.09540416347343879,0.12400527747807376,0.11046585346948025,1.1920928955078125e-07,1.1920928955078125e-07,0.033627867698669434,0.06582874059677124
9,0.6213795021538868,0.04399999976158142,0.04399999976158142,0.10253173409103564,0.09089730589534514,0.11787770148484665,0.09800775174375496,-5.960464477539063e-08,-5.960464477539063e-08,0.029902637004852295,0.07595932483673096
10,0.6350553324932549,0.04399999976158142,0.04399999976158142,0.09774861734647981,0.08219923783002583,0.10956374104622628,0.08749409457801582,1.1920928955078125e-07,1.1920928955078125e-07,0.024435043334960938,0.030809998512268066
11,0.7522221325835821,0.04399999976158142,0.04399999976158142,0.09223077555429615,0.07699156122137754,0.10586358356472143,0.07975216458676476,1.1920928955078125e-07,1.1920928955078125e-07,0.03151732683181763,0.08589613437652588
12,0.8004337472916352,0.04399999976158142,0.04399999976158142,0.0850542487487694,0.052717589573950535,0.09351225458049701,0.05700193185669382,1.1920928955078125e-07,1.1920928955078125e-07,0.02265632152557373,0.04215133190155029
13,0.8081428784314151,0.04399999976158142,0.04399999976158142,0.07766744518510983,0.038548306049507534,0.08272746124182163,0.040908074504613326,5.960464477539063e-08,5.960464477539063e-08,0.029071450233459473,0.03266894817352295
14,0.8471771207053069,0.04399999976158142,0.04399999976158142,0.0683684841428945,0.0338604860781338,0.072616371536675,0.03138263455345744,5.960464477539063e-08,5.960464477539063e-08,0.021395087242126465,0.022237777709960938
15,0.812297541178777,0.04398178309202194,0.0439925380051136,0.06740233355578049,0.031751198261911286,0.070235955838009,0.02671234370899362,5.960464477539063e-08,5.960464477539063e-08,0.009136676788330078,0.008049607276916504
16,0.7813785518020196,0.04399999976158142,0.04399999976158142,0.05073840158866069,0.03481630365467266,0.055930000735132976,0.018069082676255923,1.1920928955078125e-07,1.1920928955078125e-07,0.02601909637451172,0.024498581886291504
17,0.7957544406628675,0.04398095980286598,0.04398218169808388,0.04549504949506251,0.035351175265467424,0.051676341213227714,0.012858215458583006,1.1920928955078125e-07,1.1920928955078125e-07,0.008456110954284668,0.012649178504943848
