policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.01658692955970764,-0.07660871744155884,-0.05561727285385132,0.005376756191253662,-0.020809412002563477,-0.06449177861213684,0.9905989170074463,0.1277531385421753,0.08442634344100952,0.08739796280860901,-0.07894326001405716,0.04388001561164856,-0.09675905108451843,0.9594157934188843]","[-0.014582592993974686,-0.06623799353837967,-0.03639299422502518,0.00391798559576273,-0.01815721206367016,-0.05626946687698364]",0.043819233775138855,"[0.11268271505832672,0.07433120161294937,0.07732301950454712,-0.06870103627443314,0.038064971566200256,-0.08443427085876465]",0.043138086795806885,"[-0.29864805936813354,-0.3535706102848053,0.9145762324333191,0.7056853771209717,-0.00811329297721386,-0.032051194459199905,0.7077534794807434]","[0.2905397415161133,-0.3524136543273926,0.9354899525642395,0.6781046986579895,-0.053580667823553085,-0.00953338947147131,0.7329476475715637]","[0.13372355699539185,-0.11550566554069519,0.7805881500244141]","[0.09688034653663635,0.15189416706562042,0.6923665404319763,0.698692262172699]",0.0,0.0,0.0,False,False,0.025536388158798218
2,0,1,False,"[-0.01568407565355301,-0.08280718326568604,-0.05763977766036987,0.005941048264503479,-0.020681798458099365,-0.05821061134338379,0.9927842617034912,0.13607145845890045,0.09744316339492798,0.09486451745033264,-0.08379203826189041,0.04920259118080139,-0.10592272877693176,0.9696980714797974]","[-0.015549072995781898,-0.08062801510095596,-0.03629766404628754,0.005745642818510532,-0.020361848175525665,-0.05796636641025543]",0.04372476786375046,"[0.13332870602607727,0.09481930732727051,0.09256487339735031,-0.0819188803434372,0.047743264585733414,-0.10319053381681442]",0.04289976879954338,"[-0.29862990975379944,-0.35430166125297546,0.9158797264099121,0.7052825689315796,-0.003055022796615958,-0.03854477033019066,0.7078710794448853]","[0.28872379660606384,-0.35199230909347534,0.9378150105476379,0.67293381690979,-0.06711708754301071,-0.01106670219451189,0.7365682721138]","[0.13372357189655304,-0.115505650639534,0.7805881500244141]","[0.09688010066747665,0.1518944799900055,0.6923672556877136,0.6986916065216064]",0.0,0.0,0.0,False,False,0.021342113614082336
3,0,2,False,"[-0.015049025416374207,-0.08201539516448975,-0.05459260940551758,0.006922364234924316,-0.020790308713912964,-0.050747305154800415,0.9975088834762573,0.14939427375793457,0.1310737133026123,0.1240406334400177,-0.10605742037296295,0.05681729316711426,-0.12682107090950012,0.9751198887825012]","[-0.015105892904102802,-0.08172013610601425,-0.036276038736104965,0.0067855361849069595,-0.020736422389745712,-0.05166786536574364]",0.043779972940683365,"[0.1474991887807846,0.12677668035030365,0.12037406116724014,-0.10292641073465347,0.05563425272703171,-0.12381114065647125]",0.04281279072165489,"[-0.2986840605735779,-0.35436293482780457,0.9160701036453247,0.7049989700317383,-7.784916670061648e-05,-0.03709598630666733,0.7082374095916748]","[0.2874273657798767,-0.35122421383857727,0.9427634477615356,0.6688662171363831,-0.08389841765165329,-0.011200626380741596,0.7385482788085938]","[0.13372355699539185,-0.115505650639534,0.7805881500244141]","[0.09688014537096024,0.15189436078071594,0.6923670172691345,0.6986918449401855]",0.0,0.0,0.0,False,False,0.018319081515073776
4,0,3,False,"[-0.015762314200401306,-0.08546632528305054,-0.056156158447265625,0.007070094347000122,-0.021321892738342285,-0.040002912282943726,1.0013505220413208,0.16975732147693634,0.19468581676483154,0.16941577196121216,-0.13178052008152008,0.060324400663375854,-0.15632687509059906,0.9862085580825806]","[-0.01568349078297615,-0.08481393754482269,-0.03624248132109642,0.007044307421892881,-0.021245287731289864,-0.04148975759744644]",0.04387051984667778,"[0.16714726388454437,0.1866655945777893,0.1636960804462433,-0.12801888585090637,0.059680867940187454,-0.15218567848205566]",0.042999379336833954,"[-0.2986460328102112,-0.35452449321746826,0.9163402318954468,0.7050065994262695,0.0046743834391236305,-0.03471807390451431,0.7083349823951721]","[0.2851368188858032,-0.34870389103889465,0.9503147602081299,0.6596795320510864,-0.10949701070785522,-0.009600983001291752,0.7434656023979187]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.09687993675470352,0.15189465880393982,0.6923676133155823,0.698691189289093]",0.0,0.0,0.0,False,False,0.019913677126169205
5,0,4,False,"[-0.017595164477825165,-0.06900650262832642,-0.04790598154067993,0.01154819130897522,-0.0182245671749115,-0.03256648778915405,1.0079946517944336,0.20096932351589203,0.2923327684402466,0.2409360408782959,-0.18833748996257782,0.06235802173614502,-0.2003781497478485,0.999426007270813]","[-0.017376918345689774,-0.07136581838130951,-0.03635706007480621,0.010937757790088654,-0.018601391464471817,-0.03370317444205284]",0.04392451047897339,"[0.1970142424106598,0.2798948585987091,0.2318890541791916,-0.18051975965499878,0.06194191053509712,-0.19424134492874146]",0.04341811686754227,"[-0.29839637875556946,-0.3538586497306824,0.9156579375267029,0.7065487504005432,0.004045769106596708,-0.028449229896068573,0.707080602645874]","[0.28111347556114197,-0.3438318371772766,0.9607157707214355,0.6415321826934814,-0.1532958447933197,-0.0033759651705622673,0.7516151666641235]","[0.13372355699539185,-0.1155056580901146,0.7805881500244141]","[0.09688027948141098,0.1518942266702652,0.6923667788505554,0.6986920237541199]",0.0,0.0,0.0,False,False,0.021073758602142334
6,0,5,False,"[-0.015867508947849274,-0.06132477521896362,-0.04306292533874512,0.0120515376329422,-0.014178484678268433,-0.022601395845413208,1.020082712173462,0.23741009831428528,0.38607633113861084,0.3208301067352295,-0.23620976507663727,0.06663662195205688,-0.2518762946128845,1.0048280954360962]","[-0.016055328771471977,-0.06278936564922333,-0.036401230841875076,0.011879937723279,-0.014738878235220909,-0.02401619777083397]",0.04395268112421036,"[0.23268736898899078,0.3735780119895935,0.3105476200580597,-0.2288977950811386,0.06595014780759811,-0.24453718960285187]",0.04370062053203583,"[-0.29840487241744995,-0.3534296154975891,0.91507887840271,0.7074447274208069,0.004826905205845833,-0.02221766673028469,0.7064028978347778]","[0.2758384644985199,-0.33774763345718384,0.9744911789894104,0.6197474002838135,-0.19404996931552887,-0.006405980791896582,0.7604055404663086]","[0.13372355699539185,-0.11550568789243698,0.7805881500244141]","[0.09687985479831696,0.15189461410045624,0.6923658847808838,0.6986929774284363]",0.0,0.0,0.0,False,False,0.021157801151275635
7,0,6,False,"[-0.01530832052230835,-0.052411675453186035,-0.029863595962524414,0.013325154781341553,-0.013615041971206665,-0.01569986343383789,1.0268369913101196,0.27999284863471985,0.5235179662704468,0.43821415305137634,-0.31891143321990967,0.07143312692642212,-0.31859883666038513,1.027300477027893]","[-0.015399175696074963,-0.05366556718945503,-0.030572066083550453,0.01316571980714798,-0.013757257722318172,-0.016759570688009262]",0.04397164657711983,"[0.27446800470352173,0.5059272050857544,0.42344027757644653,-0.30710145831108093,0.0706305056810379,-0.3091675937175751]",0.04388970509171486,"[-0.29843875765800476,-0.35335731506347656,0.9164870977401733,0.7075449824333191,0.006703897379338741,-0.01892257109284401,0.7063829898834229]","[0.2679252326488495,-0.32684218883514404,0.9923624396324158,0.5876686573028564,-0.2518412172794342,-0.007153528276830912,0.7688760161399841]","[0.13372355699539185,-0.11550566554069519,0.7805881500244141]","[0.09688016027212143,0.15189412236213684,0.6923666000366211,0.698692262172699]",0.0,0.0,0.0,False,False,0.0300043523311615
8,0,7,False,"[-0.013711735606193542,-0.0555572509765625,-0.036543309688568115,0.01133127510547638,-0.014398157596588135,-0.004846483469009399,1.040192723274231,0.3330976963043213,0.6773535013198853,0.5523658394813538,-0.38531216979026794,0.08620128035545349,-0.3898201882839203,1.0480083227157593]","[-0.01391003467142582,-0.055292483419179916,-0.0359414666891098,0.011523576453328133,-0.014319045469164848,-0.00636511342599988]",0.043982189148664474,"[0.32623082399368286,0.6574000120162964,0.5375078916549683,-0.37493178248405457,0.08409879356622696,-0.37955108284950256]",0.04399999976158142,"[-0.29859527945518494,-0.3530852198600769,0.9146254658699036,0.7068016529083252,0.008512555621564388,-0.013317530043423176,0.7072350978851318]","[0.25595614314079285,-0.31080013513565063,1.0072427988052368,0.5482754111289978,-0.3138962686061859,-0.012198956683278084,0.7750576734542847]","[0.13372358679771423,-0.1155056431889534,0.7805881500244141]","[0.09688017517328262,0.15189410746097565,0.6923673748970032,0.6986914873123169]",0.0,0.0,0.0,False,False,0.034476280212402344
9,0,8,False,"[-0.01974431797862053,-0.041375577449798584,-0.013024389743804932,0.011876776814460754,-0.017189055681228638,-0.0146217942237854,1.0349775552749634,0.384378582239151,0.8403852581977844,0.6756865382194519,-0.4619485139846802,0.06578096747398376,-0.46023693680763245,1.0631098747253418]","[-0.019051771610975266,-0.04312744364142418,-0.015460595488548279,0.011947859078645706,-0.016815539449453354,-0.013568103313446045]",0.04399390146136284,"[0.3776739537715912,0.8181955814361572,0.6599273681640625,-0.4503304660320282,0.0679696798324585,-0.4499644637107849]",0.04399999976158142,"[-0.2981823980808258,-0.35379454493522644,0.9207035303115845,0.7077283263206482,0.008952579461038113,-0.01904277317225933,0.7061711549758911]","[0.23970738053321838,-0.2914680242538452,1.0196362733840942,0.4916630983352661,-0.37254542112350464,-0.01618552766740322,0.7869023680686951]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.09688009321689606,0.15189464390277863,0.692367672920227,0.6986911296844482]",0.0,0.0,0.0,False,False,0.038019776344299316
10,0,9,False,"[-0.016777753829956055,-0.038224875926971436,-0.020216047763824463,0.01506081223487854,-0.017443418502807617,-0.005667686462402344,1.0405187606811523,0.4196220934391022,0.9783937931060791,0.7908531427383423,-0.5442313551902771,0.08625563979148865,-0.5522488355636597,1.0774654150009155]","[-0.01704532839357853,-0.038729678839445114,-0.019853420555591583,0.014594607055187225,-0.017367644235491753,-0.006675567477941513]",0.043990567326545715,"[0.4147534668445587,0.959743082523346,0.7758839130401611,-0.5317286849021912,0.08384310454130173,-0.5392172336578369]",0.04399999976158142,"[-0.2983826994895935,-0.35327479243278503,0.9191281795501709,0.7068219780921936,0.009270496666431427,-0.014393692836165428,0.7071841955184937]","[0.22503475844860077,-0.2726210653781891,1.0286171436309814,0.44422581791877747,-0.4351450502872467,-0.03070579282939434,0.7825403213500977]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.0968800038099289,0.1518944948911667,0.692367434501648,0.6986913681030273]",0.0,0.0,0.0,False,False,0.03256887197494507
