policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.0018316283822059631,-0.085945725440979,-0.03723102807998657,0.038987353444099426,-0.007103979587554932,-0.05838438868522644,1.0017592906951904,0.02417284995317459,-0.06692725419998169,-0.003548741340637207,-0.00682587455958128,0.016402244567871094,0.04202106595039368,0.994542121887207]","[-0.0015957893338054419,-0.07581353187561035,-0.03265438973903656,0.034064386039972305,-0.006209829356521368,-0.05094097927212715]",0.0439981147646904,"[0.02129475027322769,-0.05906788259744644,-0.0029131006449460983,-0.005856879521161318,0.014285167679190636,0.03666217625141144]",0.04388519003987312,"[-0.29955586791038513,-0.354475200176239,0.9194831252098083,0.7053046822547913,0.00923378486186266,-0.04542824625968933,0.70738685131073]","[0.2988729476928711,-0.3554963171482086,0.9244392514228821,0.7038441300392151,0.031003909185528755,-0.004451957065612078,0.709663450717926]","[0.13372355699539185,-0.11550566554069519,0.7805881500244141]","[0.09688034653663635,0.15189416706562042,0.6923665404319763,0.698692262172699]",0.0,0.0,0.0,False,False,0.017140530049800873
2,0,1,False,"[-0.0026038140058517456,-0.08650517463684082,-0.039214253425598145,0.03983660042285919,-0.010776549577713013,-0.04950803518295288,1.006077527999878,0.03101196140050888,-0.03884166479110718,0.009865105152130127,-0.005628935061395168,0.017036914825439453,0.03698238730430603,1.001326322555542]","[-0.002475715707987547,-0.08517620712518692,-0.03616702929139137,0.03908947482705116,-0.010197932831943035,-0.04969385266304016]",0.04399990662932396,"[0.02986825257539749,-0.041231848299503326,0.008301613852381706,-0.005658962298184633,0.016670407727360725,0.036942873150110245]",0.04394062981009483,"[-0.2995879054069519,-0.354757696390152,0.9194839000701904,0.7041324377059937,0.013454674743115902,-0.04894043505191803,0.7082521915435791]","[0.2981242835521698,-0.35525941848754883,0.926921010017395,0.7017359137535095,0.028835734352469444,-0.001995374681428075,0.7118505239486694]","[0.13372357189655304,-0.115505650639534,0.7805881500244141]","[0.09688010066747665,0.1518944799900055,0.6923672556877136,0.6986916065216064]",0.0,0.0,0.0,False,False,0.00409296527504921
3,0,2,False,"[-0.0019287168979644775,-0.0847088098526001,-0.03658705949783325,0.038501203060150146,-0.010773628950119019,-0.04584091901779175,1.0069553852081299,0.039462678134441376,-0.006223738193511963,0.03210979700088501,-0.02113308571279049,0.01917058229446411,0.02549302577972412,1.0079036951065063]","[-0.0019922740757465363,-0.08477937430143356,-0.036161426454782486,0.03857031464576721,-0.010701799765229225,-0.04633217304944992]",0.043999746441841125,"[0.03833376243710518,-0.010372107848525047,0.02930777333676815,-0.019135506823658943,0.018833976238965988,0.026951920241117477]",0.0439685620367527,"[-0.2996484935283661,-0.3547322452068329,0.9194059371948242,0.703765332698822,0.01432601734995842,-0.04743526875972748,0.7087022662162781]","[0.29736489057540894,-0.35475635528564453,0.9304229617118835,0.699870228767395,0.01690143346786499,0.0025710519403219223,0.7140653133392334]","[0.13372355699539185,-0.115505650639534,0.7805881500244141]","[0.09688014537096024,0.15189436078071594,0.6923670172691345,0.6986918449401855]",0.0,0.0,0.0,False,False,0.006952074356377125
4,0,3,False,"[-0.002493157982826233,-0.07993948459625244,-0.0404471755027771,0.030888527631759644,-0.014170140027999878,-0.03134077787399292,1.0128437280654907,0.05854366719722748,0.07879209518432617,0.0884329080581665,-0.04397779330611229,0.0173952579498291,-0.00488966703414917,1.0184245109558105]","[-0.0024283132515847683,-0.08067077398300171,-0.03622695431113243,0.03182222321629524,-0.013729186728596687,-0.03325209021568298]",0.04399999976158142,"[0.05618010833859444,0.0681803971529007,0.0816366896033287,-0.040697336196899414,0.017532983794808388,-0.0008331043063662946]",0.04398427903652191,"[-0.2996939420700073,-0.35445570945739746,0.9184234738349915,0.7028290629386902,0.015060462057590485,-0.03898164629936218,0.7101301550865173]","[0.295502632856369,-0.3526012599468231,0.9401435852050781,0.693134605884552,-0.010269254446029663,0.008967895060777664,0.7206791639328003]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.09687993675470352,0.15189465880393982,0.6923676133155823,0.698691189289093]",0.0,0.0,0.0,False,False,0.017755776643753052
5,0,4,False,"[-0.0021958500146865845,-0.06778872013092041,-0.03246200084686279,0.020281732082366943,-0.017319083213806152,-0.020346611738204956,1.0150172710418701,0.08753715455532074,0.21063488721847534,0.1840161383152008,-0.1232823058962822,0.021599680185317993,-0.06867274641990662,1.0336127281188965]","[-0.0022170511074364185,-0.0692967101931572,-0.03296259045600891,0.021730955690145493,-0.016864540055394173,-0.021991442888975143]",0.043999992311000824,"[0.08386658877134323,0.19379718601703644,0.1720448136329651,-0.11260239779949188,0.02101324498653412,-0.060029175132513046]",0.04399999976158142,"[-0.29980412125587463,-0.35402965545654297,0.9176949858665466,0.7016868591308594,0.012618066743016243,-0.028546586632728577,0.7118014097213745]","[0.2924523949623108,-0.3473469018936157,0.9540484547615051,0.68108069896698,-0.07036621123552322,0.02305436134338379,0.7284544706344604]","[0.13372355699539185,-0.1155056580901146,0.7805881500244141]","[0.09688027948141098,0.1518942266702652,0.6923667788505554,0.6986920237541199]",0.0,0.0,0.0,False,False,0.028417274355888367
6,0,5,False,"[0.0011732280254364014,-0.0625985860824585,-0.037809908390045166,0.016501247882843018,-0.016774147748947144,-0.01766917109489441,1.018489122390747,0.11992307007312775,0.3460218906402588,0.29959145188331604,-0.1985662579536438,0.028798580169677734,-0.13370254635810852,1.0402417182922363]","[0.0007747863419353962,-0.06326309591531754,-0.03636503592133522,0.01700454205274582,-0.016792163252830505,-0.01821986213326454]",0.04399999976158142,"[0.11570188403129578,0.3280273377895355,0.28488993644714355,-0.18731053173542023,0.02773113176226616,-0.12431777268648148]",0.04399999976158142,"[-0.3000897169113159,-0.35346391797065735,0.9156225919723511,0.7007033228874207,0.009015493094921112,-0.022139063104987144,0.7130521535873413]","[0.2884015738964081,-0.3392014503479004,0.9738517999649048,0.6640471816062927,-0.1284208446741104,0.029586834833025932,0.7359850406646729]","[0.13372355699539185,-0.11550568789243698,0.7805881500244141]","[0.09687985479831696,0.15189461410045624,0.6923658847808838,0.6986929774284363]",0.0,0.0,0.0,False,False,0.03037923574447632
7,0,6,False,"[0.00243387371301651,-0.06531673669815063,-0.03819561004638672,0.012489572167396545,-0.01878577470779419,-0.003826320171356201,1.0198854207992554,0.15938663482666016,0.5188580751419067,0.43608540296554565,-0.29910197854042053,0.030476927757263184,-0.21660509705543518,1.089581847190857]","[0.002241926034912467,-0.06503687053918839,-0.03634791076183319,0.013054427690804005,-0.01853564940392971,-0.005661459174007177]",0.04399999976158142,"[0.1542891263961792,0.49389591813087463,0.41872939467430115,-0.2844372093677521,0.030031507834792137,-0.2048492282629013]",0.04399999976158142,"[-0.30028170347213745,-0.35353872179985046,0.9153825044631958,0.6995010375976562,0.012658881954848766,-0.016897184774279594,0.7143195271492004]","[0.2818659842014313,-0.3247324228286743,0.9940707683563232,0.6335800886154175,-0.2034202516078949,0.03823885694146156,0.7454757690429688]","[0.13372355699539185,-0.11550566554069519,0.7805881500244141]","[0.09688016027212143,0.15189412236213684,0.6923666000366211,0.698692262172699]",0.0,0.0,0.0,False,False,0.04138651490211487
8,0,7,False,"[0.00612032413482666,-0.06968921422958374,-0.05067002773284912,0.010333418846130371,-0.01764938235282898,0.002756059169769287,1.0296179056167603,0.21393610537052155,0.7706400156021118,0.6211717128753662,-0.4324387013912201,0.045524269342422485,-0.3371554911136627,1.1130605936050415]","[0.005662030540406704,-0.06897196173667908,-0.03637157380580902,0.010691240429878235,-0.0177683774381876,0.0016832681139931083]",0.04399999976158142,"[0.20695000886917114,0.6805727481842041,0.5902071595191956,-0.4136021137237549,0.043424639850854874,-0.32030412554740906]",0.04399999976158142,"[-0.3005882203578949,-0.35372480750083923,0.9154466390609741,0.6984897255897522,0.01580210216343403,-0.014793002046644688,0.7152925729751587]","[0.27115875482559204,-0.30429306626319885,1.0185972452163696,0.5870257616043091,-0.2943347096443176,0.03315228968858719,0.7534379363059998]","[0.13372358679771423,-0.1155056431889534,0.7805881500244141]","[0.09688017517328262,0.15189410746097565,0.6923673748970032,0.6986914873123169]",0.0,0.0,0.0,False,False,0.10979616641998291
9,0,8,False,"[0.005173012614250183,-0.0644034743309021,-0.0350533127784729,0.008088305592536926,-0.021371513605117798,-0.0023802518844604492,1.0193005800247192,0.25998058915138245,0.9193331599235535,0.7563442587852478,-0.5242998600006104,0.03574112057685852,-0.4162929654121399,1.1358094215393066]","[0.005239125341176987,-0.06493892520666122,-0.03523120656609535,0.008412419818341732,-0.020915690809488297,-0.001861917320638895]",0.04399999976158142,"[0.2538442015647888,0.8618840575218201,0.7379694581031799,-0.5096541047096252,0.03660042583942413,-0.40406984090805054]",0.04399999976158142,"[-0.3006393313407898,-0.35359373688697815,0.915306031703949,0.697576642036438,0.0127235297113657,-0.014246858656406403,0.7162554264068604]","[0.2572377324104309,-0.27917054295539856,1.0339462757110596,0.5327693819999695,-0.3641727864742279,0.03358585759997368,0.7631558775901794]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.09688009321689606,0.15189464390277863,0.692367672920227,0.6986911296844482]",0.0,0.0,0.0,False,False,0.07728266716003418
10,0,9,False,"[0.004501260817050934,-0.07334262132644653,-0.04909241199493408,0.02229440212249756,-0.019765198230743408,-0.00997769832611084,1.022881269454956,0.2988053262233734,1.1327017545700073,0.92034912109375,-0.6461500525474548,0.046886056661605835,-0.5366595387458801,1.1590337753295898]","[0.004586558789014816,-0.07226534932851791,-0.03633342310786247,0.020599737763404846,-0.019910357892513275,-0.008943138644099236]",0.04399845749139786,"[0.2936074733734131,1.0493046045303345,0.8986288905143738,-0.628261923789978,0.045485008507966995,-0.519766092300415]",0.04399999976158142,"[-0.3005456328392029,-0.3539426326751709,0.9166672825813293,0.6980875730514526,0.016712386161088943,-0.023333197459578514,0.7154368162155151]","[0.2415100783109665,-0.2504803538322449,1.0450845956802368,0.46933960914611816,-0.4455392360687256,0.024296432733535767,0.7619873881340027]","[0.13372357189655304,-0.1155056357383728,0.7805881500244141]","[0.0968800038099289,0.1518944948911667,0.692367434501648,0.6986913681030273]",0.0,0.0,0.0,False,False,0.10284280776977539
