policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.021843362599611282,0.02667897939682007,0.010095298290252686,-0.04381804168224335,-0.031565457582473755,0.07523569464683533,1.015548825263977,0.001056089997291565,-0.04648643732070923,0.006063938140869141,-0.056128811091184616,-0.010247021913528442,-0.0279121994972229,0.9999039173126221]","[-0.019223427399992943,0.02360711805522442,0.008648660033941269,-0.03831600025296211,-0.02752268686890602,0.06564421206712723]",0.04399915784597397,"[0.0009565225336700678,-0.040956974029541016,0.005281269084662199,-0.0489671528339386,-0.008957880549132824,-0.024354327470064163]",0.043997783213853836,"[-0.2984338104724884,-0.35157644748687744,0.9189120531082153,0.7040337920188904,0.0047156792134046555,0.04255067929625511,0.7088748812675476]","[0.30012136697769165,-0.3549301028251648,0.9216908812522888,0.7034206986427307,-0.009527305141091347,-0.007685611490160227,0.7106682062149048]","[-0.30055955052375793,-0.13075155019760132,0.7805474400520325]","[0.034793272614479065,0.14891856908798218,0.6945655941963196,0.7029874324798584]",5.960464477539063e-08,0.0,0.0,False,False,0.01501777395606041
2,0,1,False,"[-0.021808456629514694,0.07550126314163208,0.03972867131233215,-0.06811601668596268,-0.03578677773475647,0.12267372012138367,1.0208466053009033,0.0008689165115356445,-0.050952136516571045,0.004204750061035156,-0.05401788651943207,-0.008915603160858154,-0.023882389068603516,1.0033599138259888]","[-0.021499445661902428,0.06931986659765244,0.03614461421966553,-0.06427346169948578,-0.03473164141178131,0.11540666967630386]",0.043998222798109055,"[0.0008794061723165214,-0.04976227879524231,0.004294723272323608,-0.05338460952043533,-0.008921580389142036,-0.023943951353430748]",0.04399915039539337,"[-0.29839399456977844,-0.35043105483055115,0.922221839427948,0.7022344470024109,0.007047245744615793,0.07633628696203232,0.7078062891960144]","[0.30013030767440796,-0.35535770654678345,0.9215889573097229,0.7034779787063599,-0.008185560815036297,-0.008746466599404812,0.7106159925460815]","[-0.300559401512146,-0.13075119256973267,0.7805474400520325]","[0.03478574380278587,0.14891427755355835,0.6945751905441284,0.7029792070388794]",5.960464477539063e-08,0.0,0.0,False,False,0.011377431452274323
3,0,2,False,"[-0.020340219140052795,0.13769567012786865,0.08136281371116638,-0.11662591248750687,-0.043263643980026245,0.20003479719161987,1.038806676864624,0.0004988014698028564,-0.04585188627243042,-0.0001957416534423828,-0.0465833805501461,-0.0034269094467163086,-0.01870405673980713,1.007664680480957]","[-0.020472431555390358,0.12962700426578522,0.07595620304346085,-0.10993508994579315,-0.04217725619673729,0.18924829363822937]",0.04399999976158142,"[0.0005316142924129963,-0.04630320146679878,0.0003000751312356442,-0.04747040569782257,-0.0041199433617293835,-0.01937170885503292]",0.04399693384766579,"[-0.29867786169052124,-0.3487565815448761,0.9266560673713684,0.6991137266159058,0.010149922221899033,0.12659983336925507,0.7036401033401489]","[0.30030184984207153,-0.35489192605018616,0.9205492734909058,0.7053170204162598,-0.0071379211731255054,-0.006558528635650873,0.7088256478309631]","[-0.30055922269821167,-0.13075074553489685,0.7805474996566772]","[0.03478223457932472,0.14891687035560608,0.6945885419845581,0.7029656171798706]",1.1920928955078125e-07,0.0,0.0,False,False,0.016887277364730835
4,0,3,False,"[-0.020556043833494186,0.22924089431762695,0.14519432187080383,-0.1768234819173813,-0.04887905716896057,0.2936132550239563,1.0502800941467285,0.0004668980836868286,-0.042975664138793945,-0.003912687301635742,-0.04040173813700676,0.0028848648071289062,-0.0140036940574646,1.0144615173339844]","[-0.020552275702357292,0.21745821833610535,0.13704268634319305,-0.1682184785604477,-0.04801879823207855,0.28031229972839355]",0.04399999976158142,"[0.0004592183977365494,-0.04337069019675255,-0.0034083877690136433,-0.04130968451499939,0.0020007349085062742,-0.014687370508909225]",0.04399639740586281,"[-0.2987704277038574,-0.34538525342941284,0.9348081350326538,0.6968796253204346,0.012842782773077488,0.18910188972949982,0.6916894316673279]","[0.30048561096191406,-0.3544844388961792,0.9196670055389404,0.707521915435791,-0.005672803148627281,-0.004713867325335741,0.7066527605056763]","[-0.30055949091911316,-0.1307511031627655,0.7805474400520325]","[0.03479164466261864,0.14892078936100006,0.6945769190788269,0.702975869178772]",5.960464477539063e-08,0.0,0.0,False,False,0.020824342966079712
5,0,4,False,"[-0.02837776392698288,0.39496636390686035,0.2624939978122711,-0.2627197206020355,-0.04659566283226013,0.43785086274147034,1.0481669902801514,-0.003909066319465637,-0.06101524829864502,-0.010313689708709717,-0.048273663967847824,0.0025427639484405518,0.003008544445037842,1.0198603868484497]","[-0.027502354234457016,0.3738473951816559,0.24798575043678284,-0.2504159212112427,-0.04674278572201729,0.41777274012565613]",0.04399999976158142,"[-0.0034000161103904247,-0.058911681175231934,-0.009526719339191914,-0.04739900678396225,0.0024856827221810818,0.0007531804731115699]",0.043996360152959824,"[-0.29774484038352966,-0.3357873558998108,0.9511930346488953,0.6992498636245728,0.018126163631677628,0.27951568365097046,0.657717227935791]","[0.3008669316768646,-0.3549076318740845,0.9181744456291199,0.7090772986412048,0.000968937121797353,-0.00043686170829460025,0.7051299214363098]","[-0.3005593717098236,-0.13075104355812073,0.7805474996566772]","[0.034787967801094055,0.14891627430915833,0.6945799589157104,0.7029740214347839]",1.1920928955078125e-07,0.0,0.0,False,False,0.03560909628868103
6,0,5,False,"[-0.028161924332380295,0.5220752358436584,0.3531026244163513,-0.34874510765075684,-0.04524695873260498,0.5609699487686157,1.0783125162124634,-0.005006328225135803,-0.04968142509460449,-0.0045015811920166016,-0.03969242051243782,0.007533550262451172,0.009895622730255127,1.0196613073349]","[-0.028130540624260902,0.5047305226325989,0.34067097306251526,-0.33604705333709717,-0.04541701823472977,0.5427222847938538]",0.04399999976158142,"[-0.004829877987504005,-0.050814010202884674,-0.005000039469450712,-0.04064096137881279,0.006900024600327015,0.008731366135179996]",0.043996214866638184,"[-0.29734599590301514,-0.3254185914993286,0.9620412588119507,0.6993674039840698,0.019729027524590492,0.35988181829452515,0.6172365546226501]","[0.3011312782764435,-0.3547871708869934,0.9197528958320618,0.7111182808876038,0.004935696721076965,0.0012424566084519029,0.703053891658783]","[-0.30055949091911316,-0.13075149059295654,0.7805473208427429]","[0.03478788211941719,0.14891399443149567,0.6945667266845703,0.702987551689148]",-5.960464477539063e-08,0.0,0.0,False,False,0.029614925384521484
7,0,6,False,"[-0.03532710671424866,0.702627420425415,0.48975542187690735,-0.46164730191230774,-0.04114800691604614,0.7235990166664124,1.087934970855713,-0.007481202483177185,-0.033487915992736816,-0.004991769790649414,-0.033685896545648575,0.0082930326461792,0.008786916732788086,1.0250558853149414]","[-0.03454665094614029,0.6746107339859009,0.4728412926197052,-0.44518914818763733,-0.04166366904973984,0.6997102499008179]",0.04399999976158142,"[-0.007172401063144207,-0.0355180948972702,-0.005052392370998859,-0.03459876775741577,0.008122565224766731,0.008780634962022305]",0.04399586468935013,"[-0.29583483934402466,-0.30783888697624207,0.9778857827186584,0.7015414237976074,0.02595878764986992,0.44965967535972595,0.5522425770759583]","[0.30139538645744324,-0.3539620637893677,0.9191626310348511,0.7123854160308838,0.0016654288629069924,0.004541303962469101,0.7017716765403748]","[-0.30055949091911316,-0.1307511329650879,0.7805474996566772]","[0.03479041904211044,0.14891456067562103,0.6945763826370239,0.7029777765274048]",1.1920928955078125e-07,0.0,0.0,False,False,0.04548037052154541
8,0,7,False,"[-0.03824351727962494,0.904453694820404,0.6442422866821289,-0.6023141145706177,-0.04959601163864136,0.920782208442688,1.1036540269851685,-0.007709503173828125,-0.031000733375549316,-0.002252638339996338,-0.03926800563931465,0.008300691843032837,-0.002995699644088745,1.0400816202163696]","[-0.037804536521434784,0.8550359606742859,0.6251787543296814,-0.5818209648132324,-0.048584334552288055,0.8795660734176636]",0.04399999976158142,"[-0.007645555771887302,-0.03153941035270691,-0.002568612340837717,-0.03866714984178543,0.008278004825115204,-0.0014942255802452564]",0.04399534687399864,"[-0.2947319447994232,-0.2854677438735962,0.9932940602302551,0.6982090473175049,0.03356364369392395,0.5413505434989929,0.46724405884742737]","[0.30144569277763367,-0.35390716791152954,0.9193107485771179,0.7125968337059021,-0.003962131217122078,0.0029025471303611994,0.7015564441680908]","[-0.3005593717098236,-0.1307508945465088,0.7805474996566772]","[0.03478740155696869,0.14891481399536133,0.6945840120315552,0.7029702663421631]",1.1920928955078125e-07,0.0,0.0,False,False,0.069252610206604
9,0,8,False,"[-0.03427847474813461,1.0707327127456665,0.7633475065231323,-0.7129033803939819,-0.048059314489364624,1.1155527830123901,1.087190866470337,-0.012345880270004272,-0.03545421361923218,-0.01612645387649536,-0.03402487188577652,0.006615817546844482,0.008436828851699829,1.027858853340149]","[-0.03469925746321678,1.032173752784729,0.7480010390281677,-0.695810854434967,-0.04813066124916077,1.0627480745315552]",0.04399999976158142,"[-0.011791781522333622,-0.03494315966963768,-0.014644697308540344,-0.03467612341046333,0.006836476270109415,0.007170496508479118]",0.04399687051773071,"[-0.29438063502311707,-0.2607801556587219,0.9969063401222229,0.695695698261261,0.039154257625341415,0.6167900562286377,0.36612072587013245]","[0.3018088638782501,-0.35335099697113037,0.9158479571342468,0.7135512828826904,-0.002513128099963069,0.007606741972267628,0.7005571126937866]","[-0.30055949091911316,-0.13075147569179535,0.7805473208427429]","[0.03478753939270973,0.1489136964082718,0.6945674419403076,0.7029868960380554]",-5.960464477539063e-08,0.0,0.0,False,False,0.07280683517456055
10,0,9,False,"[-0.04282856360077858,1.185360074043274,0.8536043167114258,-0.79195237159729,-0.04425165057182312,1.1901096105575562,1.109075665473938,-0.007360190153121948,-0.0363956093788147,-0.0003027915954589844,-0.02922980487346649,0.012577086687088013,0.015013307332992554,1.0374011993408203]","[-0.041937608271837234,1.167443871498108,0.841533362865448,-0.7792350053787231,-0.044727668166160583,1.1738840341567993]",0.04399999976158142,"[-0.007894622161984444,-0.0363316535949707,-0.0017000085208564997,-0.029805641621351242,0.011843579821288586,0.014013759791851044]",0.04399438947439194,"[-0.2920587658882141,-0.2403315305709839,0.996545672416687,0.6968493461608887,0.037410587072372437,0.6559243202209473,0.28768858313560486]","[0.30157050490379333,-0.35422399640083313,0.9208266139030457,0.7139133810997009,0.0067122383043169975,0.0032036618795245886,0.7001944780349731]","[-0.30055949091911316,-0.1307513415813446,0.7805474996566772]","[0.034790799021720886,0.1489146202802658,0.694571316242218,0.7029827833175659]",1.1920928955078125e-07,0.0,0.0,False,False,0.03134047985076904
