policy_step,action_l2_true_minus_false,false_adjacent_action_l2,true_adjacent_action_l2,false_tracking_error,true_tracking_error,false_surface_distance_m,true_surface_distance_m,false_alignment_error_m,true_alignment_error_m,false_coin_z_delta_m,true_coin_z_delta_m
1,0.03803278411651221,,,0.01501777395606041,0.011330608278512955,0.1314605821797475,0.1323794199892658,0.14520768539062576,0.1460820800249486,5.960464477539063e-08,5.960464477539063e-08
2,0.08084073577967092,0.07877971387658038,0.034825803035722885,0.011377431452274323,0.005729936063289642,0.12614792388055973,0.12961091940753047,0.1417611349533568,0.14441284616128477,5.960464477539063e-08,5.960464477539063e-08
3,0.08534956904798155,0.12040088610525745,0.11576882668322036,0.016887277364730835,0.01446273922920227,0.11831936790284654,0.12407071331947697,0.13651256777794402,0.14137253019176954,1.1920928955078125e-07,1.1920928955078125e-07
4,0.13072943884623237,0.1586420951241734,0.1133338195998122,0.020824342966079712,0.015191808342933655,0.11153475220491972,0.11864908785810865,0.1320170708477309,0.1383970453735362,5.960464477539063e-08,5.960464477539063e-08
5,0.24651947349981174,0.2650355669391824,0.14713442770546734,0.03560909628868103,0.019368037581443787,0.10641708371519527,0.1135555224207106,0.12811962617625067,0.13514216210759536,1.1920928955078125e-07,1.1920928955078125e-07
6,0.30011476313774005,0.2194204656114194,0.16464578130841673,0.029614925384521484,0.022023320198059082,0.10046300604801811,0.10782266644919232,0.1212814154135338,0.13066661802802734,-5.960464477539063e-08,-5.960464477539063e-08
7,0.41291141190299424,0.30160323498274166,0.1877418662991131,0.04548037052154541,0.02540665864944458,0.09739037330046885,0.103142295006299,0.11593506798477128,0.12586822714147541,1.1920928955078125e-07,1.1920928955078125e-07
8,0.54862965470412,0.3521432471229651,0.2149575190714869,0.069252610206604,0.02897930145263672,0.0952432591848452,0.09890660473016041,0.11032929596171774,0.11995382754202097,1.1920928955078125e-07,1.1920928955078125e-07
9,0.6406729432842001,0.3046862099126524,0.21044119864837935,0.07280683517456055,0.028798818588256836,0.09016093649142652,0.09544403705808699,0.09702395634929109,0.1134811671270795,-5.960464477539063e-08,-5.960464477539063e-08
10,0.580774994883121,0.18473955042797865,0.23987398372134025,0.03134047985076904,0.03305232524871826,0.08103167477835638,0.09208947910939538,0.08637396225171419,0.10492842251064076,1.1920928955078125e-07,1.1920928955078125e-07
11,0.6765648196120091,0.3623464295166214,0.26320296571586205,0.08462488651275635,0.03819715976715088,0.0756238647443092,0.08853790270239924,0.07828179901464245,0.0957157972161264,1.1920928955078125e-07,1.1920928955078125e-07
12,0.5936255309524001,0.1764033252438943,0.2531387479187325,0.04220986366271973,0.03789043426513672,0.0517860871949406,0.08085930205728506,0.05550041449509385,0.08462495925574894,1.1920928955078125e-07,1.1920928955078125e-07
13,0.566697726863464,0.21880689676848467,0.24382248906605505,0.03260040283203125,0.03584599494934082,0.03812942757400289,0.06623566853041596,0.03922044459939848,0.07232684752137906,5.960464477539063e-08,5.960464477539063e-08
14,0.5084653431728611,0.15783782771228375,0.2082534547003552,0.02208733558654785,0.03164362907409668,0.03445283831347449,0.05363183242849036,0.02977456143420946,0.06081133131313731,5.960464477539063e-08,5.960464477539063e-08
15,0.378810162846719,0.04692573411175822,0.16951842769132316,0.008319973945617676,0.02652883529663086,0.03257205743327641,0.04364808517081152,0.024955874054714014,0.04979141182183187,5.960464477539063e-08,5.960464477539063e-08
16,0.36961803447904884,0.13613018001611896,0.13581351842089387,0.024149775505065918,0.02184736728668213,0.035720266611987385,0.037551720483993946,0.01791245264048516,0.04074298898315541,1.1920928955078125e-07,1.1920928955078125e-07
