policy_step,act_chunk_number,act_chunk_index,act_chunk_refresh,act_action_14d,left_arm_joints,left_gripper,right_arm_joints,right_gripper,left_end_effector_pose,right_end_effector_pose,coin_position,coin_orientation_wxyz,coin_z_delta,reward,score,success,episode_ended,max_internal_tracking_error
1,0,0,True,"[-0.017328508570074064,0.0019016834230001223,-0.005926777840493003,-0.03118202516884594,-0.03315340568623526,0.056763470665430305,1.0158787741070832,0.0010770958805252917,-0.05116063361721501,0.0010971932092118664,-0.05450453537148903,-0.011406663508637394,-0.029039063602347426,1.0003455658499192]","[-0.01523261982947588,0.001774882199242711,-0.005499129183590412,-0.02730930969119072,-0.028921348974108696,0.04952635616064072]",0.04399999976158142,"[0.000977568095549941,-0.04506569355726242,0.0008721373742446303,-0.04756519943475723,-0.009971189312636852,-0.025337619706988335]",0.04399987310171127,"[-0.29887309670448303,-0.3519745171070099,0.9168418645858765,0.7021187543869019,0.0054312716238200665,0.030115192756056786,0.7114019989967346]","[0.3000900149345398,-0.35486340522766113,0.9206409454345703,0.7030537724494934,-0.009480205364525318,-0.008430090732872486,0.7110233902931213]","[-0.30055955052375793,-0.13075155019760132,0.7805474400520325]","[0.034793272614479065,0.14891856908798218,0.6945655941963196,0.7029874324798584]",5.960464477539063e-08,0.0,0.0,False,False,0.011330608278512955
2,0,1,False,"[-0.01693657988174717,0.023165652974066253,0.007406869799150395,-0.04138230237867663,-0.03527362544809565,0.07825464681166394,1.0189846354364729,0.0012607612415803382,-0.051288291038494416,0.00121624580420987,-0.0536108235311043,-0.011136521670661426,-0.028067376939427513,1.001241277554644]","[-0.016729647293686867,0.02058817632496357,0.00598919577896595,-0.0395522266626358,-0.03446583449840546,0.07459468394517899]",0.04399999976158142,"[0.0012306743301451206,-0.05055318400263786,0.0011560642160475254,-0.05284537002444267,-0.010991083458065987,-0.02772090584039688]",0.043999768793582916,"[-0.2988808751106262,-0.35161659121513367,0.9181194305419922,0.7006521224975586,0.007482003420591354,0.04620392993092537,0.7119660377502441]","[0.3000369071960449,-0.35518622398376465,0.9206379652023315,0.7025917172431946,-0.010138661600649357,-0.00945791881531477,0.7114579677581787]","[-0.300559401512146,-0.13075119256973267,0.7805474400520325]","[0.03478574380278587,0.14891427755355835,0.6945751905441284,0.7029792070388794]",5.960464477539063e-08,0.0,0.0,False,False,0.005729936063289642
3,0,2,False,"[-0.019909328734233248,0.08939558499525246,0.05370919544098374,-0.0849609880081079,-0.04604496883854675,0.14706407987352427,1.0249824369368903,-0.0001779722683061813,-0.05103036964693175,-0.0056545172037528735,-0.05142474617582647,-0.009823483730910187,-0.025963992533020785,1.0053847385566914]","[-0.01952309161424637,0.08122595399618149,0.04810226708650589,-0.07912250608205795,-0.04456639662384987,0.13782647252082825]",0.04399999976158142,"[-1.4999285667727236e-05,-0.05094585195183754,-0.0049269190058112144,-0.05164187401533127,-0.009968118742108345,-0.026187922805547714]",0.0439983569085598,"[-0.29887378215789795,-0.3503498136997223,0.9239474534988403,0.6979785561561584,0.009705956093966961,0.09003731608390808,0.7103695869445801]","[0.3001844584941864,-0.3547959327697754,0.9187238216400146,0.7033825516700745,-0.011188890784978867,-0.00730854831635952,0.710685670375824]","[-0.30055922269821167,-0.13075074553489685,0.7805474996566772]","[0.03478223457932472,0.14891687035560608,0.6945885419845581,0.7029656171798706]",1.1920928955078125e-07,0.0,0.0,False,False,0.01446273922920227
4,0,3,False,"[-0.021048152065697927,0.1529225331070635,0.0996468306097325,-0.1292829078414273,-0.055579288206628163,0.21396685522754796,1.0340291583807861,-0.0010692667029703062,-0.04702642570817528,-0.008045750867834878,-0.04847189814485704,-0.006936443581946894,-0.02227850929408287,1.010950425615456]","[-0.020859885960817337,0.1444558948278427,0.09352686256170273,-0.12284886837005615,-0.05417449772357941,0.2042635679244995]",0.04399999976158142,"[-0.000952432572375983,-0.047495272010564804,-0.007664872799068689,-0.048880867660045624,-0.007316878531128168,-0.02277655154466629]",0.04399760067462921,"[-0.29898062348365784,-0.3485148847103119,0.9302464723587036,0.6949092745780945,0.011883785016834736,0.13629774749279022,0.7059621810913086]","[0.3003506660461426,-0.35443150997161865,0.9178022146224976,0.7046564221382141,-0.011212402954697609,-0.004866879899054766,0.7094432711601257]","[-0.30055949091911316,-0.1307511031627655,0.7805474400520325]","[0.03479164466261864,0.14892078936100006,0.6945769190788269,0.702975869178772]",5.960464477539063e-08,0.0,0.0,False,False,0.015191808342933655
5,0,4,False,"[-0.02414561198270302,0.2416727848289888,0.16268869727879565,-0.18419539334766855,-0.06006242873056317,0.2951976108919032,1.0386915538420074,-0.003501645411990467,-0.05096068106648932,-0.011841191047178734,-0.044716300797177526,-0.004558070083535037,-0.01498285749998507,1.015810498576157]","[-0.0237671360373497,0.23018701374530792,0.15454454720020294,-0.17629097402095795,-0.059299323707818985,0.28360939025878906]",0.04399999976158142,"[-0.003209317335858941,-0.05055348575115204,-0.011332730762660503,-0.045248083770275116,-0.004900430794805288,-0.01597587950527668]",0.04399649426341057,"[-0.2987489402294159,-0.34490764141082764,0.9389668107032776,0.6939343214035034,0.013120233081281185,0.19241148233413696,0.6937296390533447]","[0.30063655972480774,-0.3543505072593689,0.9171403050422668,0.706358790397644,-0.007765257265418768,-0.0035146137233823538,0.7078025341033936]","[-0.3005593717098236,-0.13075104355812073,0.7805474996566772]","[0.034787967801094055,0.14891627430915833,0.6945799589157104,0.7029740214347839]",1.1920928955078125e-07,0.0,0.0,False,False,0.019368037581443787
6,0,5,False,"[-0.026808360157943155,0.3406249654353645,0.23109867816463164,-0.24476832704998877,-0.06479771179454763,0.3886192603936665,1.0502596623067133,-0.0051559134853984,-0.04844435423258209,-0.013262621917025097,-0.04143916256026628,-0.0024089250306819077,-0.0098873177095124,1.0207443263623621]","[-0.02646607533097267,0.32762956619262695,0.22205860912799835,-0.23594096302986145,-0.06408166885375977,0.375237375497818]",0.04399999976158142,"[-0.004933682736009359,-0.04869639500975609,-0.013030173256993294,-0.0419275239109993,-0.0027189075481146574,-0.010662824846804142]",0.04399612545967102,"[-0.2984582185745239,-0.3393632769584656,0.9479603171348572,0.6928710341453552,0.014880952425301075,0.25566452741622925,0.6740502715110779]","[0.30086565017700195,-0.35414478182792664,0.9167446494102478,0.7077572345733643,-0.005978740751743317,-0.0015446026809513569,0.7064286470413208]","[-0.30055949091911316,-0.13075149059295654,0.7805473208427429]","[0.03478788211941719,0.14891399443149567,0.6945667266845703,0.702987551689148]",-5.960464477539063e-08,0.0,0.0,False,False,0.022023320198059082
7,0,6,False,"[-0.03226324469939271,0.45476251609773755,0.3123657636061431,-0.31509984684557335,-0.06653008544915873,0.49090075696246516,1.0596823211579443,-0.006691953466575085,-0.04193866755381259,-0.014699047680412969,-0.03954965638337975,0.0005803777914466512,-0.007185057112725102,1.0251218872227537]","[-0.031611453741788864,0.4398227632045746,0.3017690181732178,-0.30485135316848755,-0.06619354337453842,0.4761617183685303]",0.04399999976158142,"[-0.00649293465539813,-0.04273160919547081,-0.014524169266223907,-0.03986644372344017,0.00016753195086494088,-0.007627752609550953]",0.04399675503373146,"[-0.29769396781921387,-0.33120062947273254,0.958241879940033,0.6933860778808594,0.016429845243692398,0.32361137866973877,0.6436002850532532]","[0.3011011481285095,-0.3537474274635315,0.9159824848175049,0.7093181610107422,-0.006814946886152029,0.0014462970430031419,0.7048539519309998]","[-0.30055949091911316,-0.1307511329650879,0.7805474996566772]","[0.03479041904211044,0.14891456067562103,0.6945763826370239,0.7029777765274048]",1.1920928955078125e-07,0.0,0.0,False,False,0.02540665864944458
8,0,7,False,"[-0.037878976790095734,0.5844796048252434,0.40549431639719363,-0.3964939871718116,-0.06658687301501642,0.6086258643612066,1.0685921398116363,-0.008348335575041499,-0.03505540360591719,-0.01257080500091834,-0.04165978948985268,0.0015677703668902088,-0.009817784291207943,1.0318406535832736]","[-0.037186149507761,0.5675321817398071,0.393349826335907,-0.3845933973789215,-0.06650899350643158,0.5917450785636902]",0.04399999976158142,"[-0.008133229799568653,-0.03596743196249008,-0.012795927003026009,-0.04143132269382477,0.0013945185346528888,-0.009538106620311737]",0.043996307998895645,"[-0.29661622643470764,-0.3197129964828491,0.9688759446144104,0.6942954063415527,0.01858634501695633,0.3970062732696533,0.5999953150749207]","[0.3012963831424713,-0.3535158038139343,0.9159024953842163,0.7102924585342407,-0.009822456166148186,0.00311986799351871,0.7038311958312988]","[-0.3005593717098236,-0.1307508945465088,0.7805474996566772]","[0.03478740155696869,0.14891481399536133,0.6945840120315552,0.7029702663421631]",1.1920928955078125e-07,0.0,0.0,False,False,0.02897930145263672
9,0,8,False,"[-0.04238211281332126,0.7109806835174703,0.49650596422946186,-0.4759062117506636,-0.06654632593778809,0.72507146432729,1.0756773962681807,-0.009657439597453105,-0.028749862296234774,-0.012755954120245105,-0.042882818214089326,0.00176139471929454,-0.012196195667138698,1.0356873691782011]","[-0.041819918900728226,0.694243311882019,0.484436571598053,-0.46401306986808777,-0.06651792675256729,0.708080530166626]",0.04399999976158142,"[-0.009478989988565445,-0.0295941811054945,-0.012789993546903133,-0.0427117794752121,0.001717877108603716,-0.0118572311475873]",0.04399637132883072,"[-0.2954486310482025,-0.3061528205871582,0.9778553247451782,0.6946361064910889,0.021360106766223907,0.4650093913078308,0.5484437346458435]","[0.30143851041793823,-0.35320162773132324,0.9152921438217163,0.710821807384491,-0.013339702039957047,0.00502465944737196,0.7032275795936584]","[-0.30055949091911316,-0.13075147569179535,0.7805473208427429]","[0.03478753939270973,0.1489136964082718,0.6945674419403076,0.7029868960380554]",-5.960464477539063e-08,0.0,0.0,False,False,0.028798818588256836
10,0,9,False,"[-0.04832901590343746,0.8581287659628193,0.6007049511932964,-0.5669862211884998,-0.06583311825697968,0.8536349590115566,1.0856307167250807,-0.010235936046657151,-0.022565384504990793,-0.013005865811857142,-0.043605575570292036,0.00513436708846593,-0.012556443566559827,1.040135272225098]","[-0.047621775418519974,0.8390374183654785,0.5871708393096924,-0.5535122752189636,-0.06589678674936295,0.8350837826728821]",0.04399999976158142,"[-0.01015413086861372,-0.02339230105280876,-0.012996034696698189,-0.04350198805332184,0.004704013001173735,-0.012467133812606335]",0.043997593224048615,"[-0.2937508523464203,-0.2883341610431671,0.9854077696800232,0.6949419379234314,0.022777315229177475,0.5334743857383728,0.4816035330295563]","[0.3015933632850647,-0.35288748145103455,0.9146682620048523,0.7120499014854431,-0.016112836077809334,0.007358917500823736,0.7019052505493164]","[-0.30055949091911316,-0.1307513415813446,0.7805474996566772]","[0.034790799021720886,0.1489146202802658,0.694571316242218,0.7029827833175659]",1.1920928955078125e-07,0.0,0.0,False,False,0.03305232524871826
