call,chunk_number,chunk_action_index,queue_length_before,queue_length_after,forward_called,cumulative_forward_calls,normalized_action_0,normalized_action_1,action_0,action_1
1,1,0,0,9,True,1,-0.6601729989051819,0.05461069568991661,161.16635131835938,299.2338562011719
2,1,1,9,8,False,1,-0.6474213004112244,0.06975546479225159,162.46192932128906,300.6883544921875
3,1,2,8,7,False,1,-0.5816014409065247,0.06497098505496979,169.14920043945312,300.2288513183594
4,1,3,7,6,False,1,-0.619685173034668,0.06852060556411743,165.2799072265625,300.5697326660156
5,1,4,6,5,False,1,-0.5866459608078003,0.091377854347229,168.6366729736328,302.76495361328125
6,1,5,5,4,False,1,-0.6342998147010803,0.06343294680118561,163.79507446289062,300.08111572265625
7,1,6,4,3,False,1,-0.6272194385528564,0.04924027994275093,164.51443481445312,298.71807861328125
8,1,7,3,2,False,1,-0.585724949836731,0.06876328587532043,168.73025512695312,300.5930480957031
9,1,8,2,1,False,1,-0.5919263958930969,0.13446547091007233,168.10018920898438,306.9030456542969
10,1,9,1,0,False,1,-0.5906954407691956,0.06910136342048645,168.22525024414062,300.6255187988281
11,2,0,0,9,True,2,-0.6601729989051819,0.05461069568991661,161.16635131835938,299.2338562011719
12,2,1,9,8,False,2,-0.6474213004112244,0.06975546479225159,162.46192932128906,300.6883544921875
13,2,2,8,7,False,2,-0.5816014409065247,0.06497098505496979,169.14920043945312,300.2288513183594
14,2,3,7,6,False,2,-0.619685173034668,0.06852060556411743,165.2799072265625,300.5697326660156
15,2,4,6,5,False,2,-0.5866459608078003,0.091377854347229,168.6366729736328,302.76495361328125
16,2,5,5,4,False,2,-0.6342998147010803,0.06343294680118561,163.79507446289062,300.08111572265625
17,2,6,4,3,False,2,-0.6272194385528564,0.04924027994275093,164.51443481445312,298.71807861328125
18,2,7,3,2,False,2,-0.585724949836731,0.06876328587532043,168.73025512695312,300.5930480957031
19,2,8,2,1,False,2,-0.5919263958930969,0.13446547091007233,168.10018920898438,306.9030456542969
20,2,9,1,0,False,2,-0.5906954407691956,0.06910136342048645,168.22525024414062,300.6255187988281
21,3,0,0,9,True,3,-0.6601729989051819,0.05461069568991661,161.16635131835938,299.2338562011719
